run_id,makespan,energy,utilization,sla_violation
377,1118.56,559832.07,0.817,0.0718
378,945.24,473297.72,0.8415,0.0641
379,747.53,456570.47,0.8961,0.0295
380,943.22,495441.73,0.8488,0.0582
381,876.5,478501.75,0.8255,0.0578
382,940.88,480763.98,0.813,0.0659
383,901.96,492637.49,0.8531,0.0316
384,818.56,480354.13,0.8802,0.0239
385,893.12,514087.08,0.847,0.036
386,905.88,539216.8,0.8402,0.0454
387,968.25,482876.73,0.8243,0.0622
388,963.91,473409.5,0.8147,0.0819
389,917.35,546681.4,0.8277,0.0431
390,904.61,503575.09,0.8347,0.0929
391,910.72,472272.97,0.8321,0.0754
392,967.25,507944.07,0.8148,0.0693
393,871.92,513007.99,0.8551,0.0625
394,915.14,504482.03,0.8801,0.0477
395,961.13,465014.45,0.8464,0.07
396,980.46,464926.96,0.8373,0.0713
397,800.28,498700.6,0.8476,0.046
398,989.11,476359.3,0.8397,0.0877
399,921.23,522140.91,0.8666,0.0239
400,1054.06,605479.06,0.8154,0.0814
401,968.36,496846.13,0.8542,0.067
402,832.01,490592.33,0.8465,0.0222
403,962.53,498315.12,0.8339,0.0611
404,1020.18,520621.98,0.799,0.0651
405,911.37,508985.26,0.8182,0.0391
406,983.18,564644.2,0.8424,0.0712
407,933.07,488772.05,0.8424,0.0434
408,880.63,461928.49,0.873,0.0703
409,1017.33,527475.88,0.8098,0.0716
410,952.44,481171.27,0.8137,0.1048
411,1025.55,517426.74,0.8517,0.0438
412,997.73,502985.29,0.8225,0.0706
413,965.97,507166.74,0.8371,0.0667
414,890.42,541379.36,0.8205,0.037
415,971.34,493784.76,0.7817,0.0676
416,967.16,470254.91,0.819,0.1002
417,985.42,494357.43,0.8145,0.0969
418,925.7,558422.86,0.8155,0.0114
419,952.68,530441.29,0.7804,0.0717
420,1002.2,528706.26,0.8532,0.0504
421,968.97,532759.52,0.8205,0.0563
422,1092.0,483567.45,0.795,0.0694
423,806.97,484371.42,0.8816,0.0427
424,906.75,514174.59,0.85,0.0282
425,974.17,569207.24,0.8182,0.0715
426,959.13,516622.09,0.8183,0.1093
427,972.49,486698.59,0.8207,0.0557
428,875.86,470392.33,0.81,0.0671
429,925.88,465837.82,0.8438,0.0647
430,975.12,579266.11,0.8187,0.0438
431,1045.68,627339.08,0.8701,0.0479
432,955.68,501572.7,0.8414,0.0437
433,903.14,511191.33,0.8265,0.0556
434,888.05,500073.21,0.8462,0.0735
435,921.63,541050.96,0.8245,0.046
436,900.14,497159.47,0.8217,0.0788
437,923.8,525710.86,0.8258,0.0493
438,970.97,516840.81,0.8388,0.0509
439,936.54,541265.01,0.8304,0.0675
440,938.29,498795.26,0.8199,0.0923
441,915.6,458229.12,0.8693,0.0441
442,997.51,604588.51,0.8329,0.0562
443,890.79,460969.15,0.8463,0.0757
444,999.88,528264.67,0.8261,0.0683
445,911.48,490997.76,0.8293,0.0403
446,973.87,488741.47,0.8037,0.0639
447,986.86,523299.91,0.8333,0.0666
448,789.65,480664.63,0.8143,0.0406
449,867.27,473334.15,0.8452,0.0749
450,968.67,557743.56,0.8615,0.0537
451,864.71,452071.83,0.9181,0.001
452,920.94,501017.51,0.8069,0.0498
453,959.53,490587.32,0.8027,0.0497
454,984.2,499255.95,0.8389,0.0659
455,920.8,500506.17,0.8664,0.0654
456,928.81,520478.68,0.8719,0.0364
457,807.21,481398.79,0.8691,0.0547
458,890.96,420481.74,0.7965,0.0864
459,950.08,486920.73,0.8343,0.0407
460,905.49,519193.01,0.8413,0.0258
461,866.22,492245.92,0.8567,0.0627
462,1070.9,484862.77,0.7609,0.1136
463,908.99,435541.84,0.8288,0.0692
464,896.18,486721.74,0.859,0.0251
465,1030.36,502602.04,0.7876,0.1113
466,889.07,464961.87,0.8213,0.0746
467,1053.68,516996.26,0.7571,0.1158
468,921.31,493890.95,0.8715,0.0617
469,887.37,446179.98,0.8629,0.0617
470,1006.25,486340.22,0.7867,0.1156
471,865.35,472767.37,0.8453,0.0587
472,999.65,479203.44,0.8078,0.0616
473,998.7,499163.09,0.803,0.0298
474,822.74,508055.0,0.8676,0.0536
475,857.47,496368.25,0.8606,0.024
476,1051.84,582599.89,0.8261,0.0615
477,1171.47,585506.58,0.7707,0.0847
478,960.61,474171.91,0.8726,0.0264
479,914.26,548284.42,0.889,0.0423
480,913.88,473618.12,0.8882,0.0414
481,955.36,560200.37,0.8305,0.0667
482,909.51,492389.13,0.8394,0.0582
483,978.49,537765.32,0.8134,0.1233
484,962.51,504061.35,0.8133,0.0475
485,961.45,519023.59,0.8406,0.0516
486,950.31,521132.96,0.8292,0.0644
487,935.67,542137.26,0.8674,0.0472
488,1024.5,506686.94,0.7815,0.0764
489,871.12,498876.39,0.8782,0.0392
490,966.52,549600.63,0.8428,0.0732
491,969.76,483385.1,0.8333,0.0661
492,941.5,460254.26,0.8622,0.0512
493,911.72,569737.68,0.8508,0.0267
494,895.99,529996.49,0.8186,0.0271
495,925.93,472808.66,0.8205,0.0851
496,1016.08,579169.28,0.774,0.0762
497,893.09,449208.9,0.8571,0.085
498,929.55,490613.33,0.8301,0.0735
499,871.63,531607.56,0.818,0.061
500,1053.37,506698.23,0.8098,0.0659
501,1011.18,552850.7,0.8192,0.0521
502,946.24,523847.61,0.8477,0.058
503,950.52,516994.83,0.8291,0.0861
504,913.58,530893.82,0.8644,0.0163
505,842.12,507371.06,0.85,0.0276
506,912.16,560389.5,0.8395,0.0321
507,808.57,484372.48,0.8905,0.0303
508,830.95,433198.75,0.8777,0.0467
509,1026.22,475672.06,0.7809,0.0851
510,910.23,537020.76,0.8467,0.0386
511,989.5,596169.79,0.769,0.0742
512,897.28,460119.55,0.8164,0.0847
513,974.45,485295.12,0.8601,0.069
514,959.24,526619.56,0.785,0.0784
515,825.72,491578.7,0.8624,0.0176
516,986.14,480396.97,0.8334,0.0624
517,891.52,503422.29,0.8318,0.0595
518,835.35,504865.93,0.8546,0.0301
519,833.94,443051.59,0.8566,0.0538
520,862.62,430381.29,0.8517,0.0876
521,913.12,457860.05,0.8396,0.0501
522,984.71,502688.69,0.8118,0.0661
523,947.29,480474.56,0.8375,0.0405
524,918.39,508292.68,0.8514,0.0442
525,908.1,522043.64,0.8595,0.0021
526,947.85,513048.31,0.8484,0.0219
527,889.36,458284.06,0.8822,0.0414
528,1005.81,463456.08,0.8494,0.0337
529,940.39,540693.48,0.8258,0.0206
530,936.87,527009.17,0.8334,0.0569
531,967.43,496310.67,0.8005,0.0614
532,887.69,489798.71,0.8725,0.051
533,897.56,514733.54,0.8786,0.077
534,914.05,423169.28,0.8201,0.0863
535,963.66,512023.56,0.8277,0.0455
536,891.96,525856.84,0.8645,0.0483
537,1040.14,557708.47,0.8032,0.064
538,878.4,503748.6,0.8736,0.0499
